CountryName,Code,Year,Population,Latitude,Longitude
Afghanistan,AFG,2023,41454762,,
Albania,ALB,2023,2811660,,
Algeria,DZA,2023,46164221,,
American Samoa,ASM,2023,47543,,
Andorra,AND,2023,80868,,
Angola,AGO,2023,36749907,,
Anguilla,AIA,2023,14435,,
Antigua and Barbuda,ATG,2023,93333,,
Argentina,ARG,2023,45538402,,
Armenia,ARM,2023,2943395,,
Aruba,ABW,2023,107946,,
Australia,AUS,2023,26451125,,
Austria,AUT,2023,9130434,,
Azerbaijan,AZE,2023,10318210,,
Bahamas,BHS,2023,399452,,
Bahrain,BHR,2023,1569674,,
Bangladesh,BGD,2023,171466986,,
Barbados,BRB,2023,282348,,
Belarus,BLR,2023,9115680,,
Belgium,BEL,2023,11712894,,
Belize,BLZ,2023,411115,,
Benin,BEN,2023,14111035,,
Bermuda,BMU,2023,64721,,
Bhutan,BTN,2023,786387,,
Bolivia,BOL,2023,12244161,,
Bonaire Sint Eustatius and Saba,BES,2023,29919,,
Bosnia and Herzegovina,BIH,2023,3185071,,
Botswana,BWA,2023,2480242,,
Brazil,BRA,2023,211140731,,
British Virgin Islands,VGB,2023,39008,,
Brunei,BRN,2023,458959,,
Bulgaria,BGR,2023,6795804,,
Burkina Faso,BFA,2023,23025778,,
Burundi,BDI,2023,13689455,,
Cambodia,KHM,2023,17423881,,
Cameroon,CMR,2023,28372688,,
Canada,CAN,2023,39299099,,
Cape Verde,CPV,2023,522335,,
Cayman Islands,CYM,2023,73055,,
Central African Republic,CAF,2023,5152417,,
Chad,TCD,2023,19319073,,
Chile,CHL,2023,19658834,,
China,CHN,2023,1422584937,,
Colombia,COL,2023,52321152,,
Comoros,COM,2023,850390,,
Congo,COG,2023,6182889,,
Cook Islands,COK,2023,14243,,
Costa Rica,CRI,2023,5105527,,
Cote d'Ivoire,CIV,2023,31165651,,
Croatia,HRV,2023,3896024,,
Cuba,CUB,2023,11019931,,
Curacao,CUW,2023,185437,,
Cyprus,CYP,2023,1344979,,
Czechia,CZE,2023,10809722,,
Democratic Republic of Congo,COD,2023,105789733,,
Denmark,DNK,2023,5948134,,
Djibouti,DJI,2023,1152951,,
Dominica,DMA,2023,66531,,
Dominican Republic,DOM,2023,11331268,,
East Timor,TLS,2023,1384292,,
Ecuador,ECU,2023,17980079,,
Egypt,EGY,2023,114535772,,
El Salvador,SLV,2023,6309628,,
Equatorial Guinea,GNQ,2023,1847556,,
Eritrea,ERI,2023,3470392,,
Estonia,EST,2023,1367194,,
Eswatini,SWZ,2023,1230508,,
Ethiopia,ETH,2023,128691696,,
Falkland Islands,FLK,2023,3498,,
Faroe Islands,FRO,2023,54738,,
Fiji,FJI,2023,924150,,
Finland,FIN,2023,5601185,,
France,FRA,2023,66438828,,
French Guiana,GUF,2023,303409,,
French Polynesia,PYF,2023,281124,,
Gabon,GAB,2023,2484790,,
Gambia,GMB,2023,2697848,,
Georgia,GEO,2023,3807494,,
Germany,DEU,2023,84548234,,
Ghana,GHA,2023,33787915,,
Gibraltar,GIB,2023,38493,,
Greece,GRC,2023,10242909,,
Greenland,GRL,2023,55951,,
Grenada,GRD,2023,117093,,
Guadeloupe,GLP,2023,376519,,
Guam,GUM,2023,166523,,
Guatemala,GTM,2023,18124842,,
Guernsey,GGY,2023,64042,,
Guinea,GIN,2023,14405469,,
Guinea-Bissau,GNB,2023,2153344,,
Guyana,GUY,2023,826360,,
Haiti,HTI,2023,11637402,,
Honduras,HND,2023,10644855,,
Hong Kong,HKG,2023,7442738,,
Hungary,HUN,2023,9686463,,
Iceland,ISL,2023,387559,,
India,IND,2023,1438069597,,
Indonesia,IDN,2023,281190068,,
Iran,IRN,2023,90608708,,
Iraq,IRQ,2023,45074055,,
Ireland,IRL,2023,5196629,,
Isle of Man,IMN,2023,84180,,
Israel,ISR,2023,9256311,,
Italy,ITA,2023,59499452,,
Jamaica,JAM,2023,2839785,,
Japan,JPN,2023,124370947,,
Jersey,JEY,2023,103679,,
Jordan,JOR,2023,11439219,,
Kazakhstan,KAZ,2023,20330106,,
Kenya,KEN,2023,55339007,,
Kiribati,KIR,2023,132539,,
Kosovo,OWID_KOS,2023,1700039,,
Kuwait,KWT,2023,4838780,,
Kyrgyzstan,KGZ,2023,7073523,,
Laos,LAO,2023,7665002,,
Latvia,LVA,2023,1882400,,
Lebanon,LBN,2023,5773492,,
Lesotho,LSO,2023,2311476,,
Liberia,LBR,2023,5493034,,
Libya,LBY,2023,7305660,,
Liechtenstein,LIE,2023,39621,,
Lithuania,LTU,2023,2854105,,
Luxembourg,LUX,2023,665101,,
Macao,MAC,2023,713916,,
Madagascar,MDG,2023,31195936,,
Malawi,MWI,2023,21104480,,
Malaysia,MYS,2023,35126295,,
Maldives,MDV,2023,526009,,
Mali,MLI,2023,23769129,,
Malta,MLT,2023,532964,,
Marshall Islands,MHL,2023,38849,,
Martinique,MTQ,2023,346008,,
Mauritania,MRT,2023,5022440,,
Mauritius,MUS,2023,1273590,,
Mayotte,MYT,2023,316028,,
Mexico,MEX,2023,129739764,,
Micronesia (country),FSM,2023,112646,,
Moldova,MDA,2023,3067071,,
Monaco,MCO,2023,38978,,
Mongolia,MNG,2023,3431939,,
Montenegro,MNE,2023,633557,,
Montserrat,MSR,2023,4440,,
Morocco,MAR,2023,37712517,,
Mozambique,MOZ,2023,33635165,,
Myanmar,MMR,2023,54133801,,
Namibia,NAM,2023,2963101,,
Nauru,NRU,2023,11900,,
Nepal,NPL,2023,29694614,,
Netherlands,NLD,2023,18092525,,
New Caledonia,NCL,2023,289880,,
New Zealand,NZL,2023,5172839,,
Nicaragua,NIC,2023,6823618,,
Niger,NER,2023,26159862,,
Nigeria,NGA,2023,227882949,,
Niue,NIU,2023,1841,,
North Korea,PRK,2023,26418196,,
North Macedonia,MKD,2023,1831800,,
Northern Mariana Islands,MNP,2023,45165,,
Norway,NOR,2023,5519166,,
Oman,OMN,2023,5049268,,
Pakistan,PAK,2023,247504504,,
Palau,PLW,2023,17750,,
Palestine,PSE,2023,5409201,,
Panama,PAN,2023,4458759,,
Papua New Guinea,PNG,2023,10389638,,
Paraguay,PRY,2023,6844152,,
Peru,PER,2023,33845617,,
Philippines,PHL,2023,114891200,,
Poland,POL,2023,38762847,,
Portugal,PRT,2023,10430735,,
Puerto Rico,PRI,2023,3242023,,
Qatar,QAT,2023,2979087,,
Reunion,REU,2023,874883,,
Romania,ROU,2023,19118481,,
Russia,RUS,2023,145440504,,
Rwanda,RWA,2023,13954474,,
Saint Barthelemy,BLM,2023,11112,,
Saint Helena,SHN,2023,5316,,
Saint Kitts and Nevis,KNA,2023,46783,,
Saint Lucia,LCA,2023,179293,,
Saint Martin (French part),MAF,2023,27545,,
Saint Pierre and Miquelon,SPM,2023,5707,,
Saint Vincent and the Grenadines,VCT,2023,101331,,
Samoa,WSM,2023,216674,,
San Marino,SMR,2023,33761,,
Sao Tome and Principe,STP,2023,230881,,
Saudi Arabia,SAU,2023,33264288,,
Senegal,SEN,2023,18077573,,
Serbia,SRB,2023,6773203,,
Seychelles,SYC,2023,127961,,
Sierra Leone,SLE,2023,8460523,,
Singapore,SGP,2023,5789091,,
Sint Maarten (Dutch part),SXM,2023,42775,,
Slovakia,SVK,2023,5518057,,
Slovenia,SVN,2023,2118395,,
Solomon Islands,SLB,2023,800013,,
Somalia,SOM,2023,18358621,,
South Africa,ZAF,2023,63212386,,
South Korea,KOR,2023,51748744,,
South Sudan,SSD,2023,11483373,,
Spain,ESP,2023,47911583,,
Sri Lanka,LKA,2023,22971616,,
Sudan,SDN,2023,50042799,,
Suriname,SUR,2023,628892,,
Svalbard and Jan Mayen,SJM,2023,2400,,
Sweden,SWE,2023,10551493,,
Switzerland,CHE,2023,8870564,,
Syria,SYR,2023,23594622,,
Taiwan,TWN,2023,23317145,,
Tajikistan,TJK,2023,10389808,,
Tanzania,TZA,2023,66617607,,
Thailand,THA,2023,71702438,,
Togo,TGO,2023,9304344,,
Tokelau,TKL,2023,2424,,
Tonga,TON,2023,104614,,
Trinidad and Tobago,TTO,2023,1502936,,
Tunisia,TUN,2023,12200434,,
Turkey,TUR,2023,87270503,,
Turkmenistan,TKM,2023,7364437,,
Turks and Caicos Islands,TCA,2023,46219,,
Tuvalu,TUV,2023,9837,,
Uganda,UGA,2023,48656604,,
Ukraine,UKR,2023,37732832,,
United Arab Emirates,ARE,2023,10642089,,
United Kingdom,GBR,2023,68682965,,
United States,USA,2023,343477332,,
United States Virgin Islands,VIR,2023,85712,,
Uruguay,URY,2023,3388083,,
Uzbekistan,UZB,2023,35652309,,
Vanuatu,VUT,2023,320422,,
Vatican,VAT,2023,501,,
Venezuela,VEN,2023,28300860,,
Vietnam,VNM,2023,100352189,,
Wallis and Futuna,WLF,2023,11394,,
Western Sahara,ESH,2023,579735,,
World,OWID_WRL,2023,8091734935,,
Yemen,YEM,2023,39390800,,
Zambia,ZMB,2023,20723968,,
Zimbabwe,ZWE,2023,16340829,,
